total_off_points,total_tds,td_pct,pass_pct_defense,rec_td_pct,receiving_touchdown,total_off_yards,ypa,win_pct,team,season
366.0,68.0,0.05,0.57,0.043,29.0,6410,7.55,0.438,ATL,2019
499.0,96.0,0.07,0.63,0.086,37.0,6637,7.75,0.824,BAL,2019
319.0,57.0,0.05,0.61,0.042,21.0,5530,6.94,0.588,BUF,2019
349.0,57.0,0.04,0.57,0.028,17.0,5953,6.75,0.312,CAR,2019
272.0,49.0,0.04,0.59,0.035,20.0,5031,6.29,0.5,CHI,2019
282.0,46.0,0.03,0.51,0.03,18.0,5511,6.66,0.125,CIN,2019
344.0,62.0,0.05,0.54,0.044,23.0,5828,7.52,0.375,CLE,2019
428.0,78.0,0.05,0.6,0.051,30.0,7055,8.37,0.5,DAL,2019
289.0,45.0,0.04,0.57,0.032,16.0,5063,6.88,0.438,DEN,2019
331.0,64.0,0.05,0.58,0.05,28.0,5836,7.53,0.25,DET,2019
376.0,70.0,0.05,0.58,0.046,26.0,5812,7.06,0.778,GB,2019
367.0,71.0,0.05,0.6,0.052,27.0,6092,7.85,0.611,HOU,2019
346.0,62.0,0.05,0.61,0.044,22.0,5444,6.59,0.438,IND,2019
290.0,51.0,0.04,0.56,0.041,24.0,5731,6.92,0.375,JAX,2019
432.0,77.0,0.06,0.6,0.053,30.0,6259,8.21,0.789,KC,2019
373.0,64.0,0.05,0.58,0.036,22.0,6168,7.59,0.562,LA,2019
334.0,60.0,0.04,0.53,0.042,24.0,6101,8.06,0.312,LAC,2019
304.0,57.0,0.04,0.58,0.043,22.0,6003,7.98,0.438,LV,2019
300.0,55.0,0.04,0.54,0.037,22.0,5269,6.9,0.312,MIA,2019
393.0,71.0,0.06,0.62,0.057,26.0,5862,8.14,0.611,MIN,2019
380.0,67.0,0.05,0.61,0.041,25.0,5856,6.8,0.706,NE,2019
432.0,84.0,0.06,0.65,0.063,36.0,6169,7.71,0.765,NO,2019
331.0,72.0,0.05,0.56,0.051,30.0,5755,6.9,0.25,NYG,2019
239.0,44.0,0.04,0.6,0.038,19.0,4700,6.82,0.438,NYJ,2019
367.0,70.0,0.05,0.63,0.045,27.0,6002,6.72,0.529,PHI,2019
267.0,43.0,0.04,0.55,0.037,18.0,4661,6.55,0.5,PIT,2019
398.0,78.0,0.06,0.61,0.061,31.0,6310,8.04,0.667,SEA,2019
452.0,79.0,0.06,0.58,0.06,28.0,6334,8.66,0.789,SF,2019
429.0,81.0,0.06,0.66,0.055,33.0,6648,8.54,0.438,TB,2019
376.0,79.0,0.07,0.61,0.066,29.0,6179,8.99,0.579,TEN,2019
269.0,46.0,0.04,0.54,0.039,18.0,4788,6.88,0.188,WAS,2019
411.0,76.0,0.05,0.58,0.048,27.0,6339,7.3,0.5,ARI,2020
390.0,67.0,0.05,0.63,0.044,27.0,6152,7.49,0.25,ATL,2020
448.0,79.0,0.07,0.62,0.068,27.0,5989,7.39,0.667,BAL,2020
477.0,96.0,0.07,0.59,0.068,40.0,6509,8.18,0.789,BUF,2020
339.0,52.0,0.04,0.6,0.03,16.0,5833,7.73,0.312,CAR,2020
366.0,65.0,0.05,0.57,0.043,26.0,5572,6.56,0.471,CHI,2020
313.0,52.0,0.04,0.54,0.033,19.0,5461,6.65,0.312,CIN,2020
393.0,75.0,0.06,0.6,0.055,27.0,6073,7.51,0.667,CLE,2020
